id,ime
2157,Edvaldo Oliveira
792,Byron Bertram
69,Javier Sanchez
5544,Albert Loncaric
2873,Karel Demuynck
2067,Marius Copil
3744,John Peers
5622,Israel Matos Gil
2406,Jan Kallquist
2193,Kittipong Wachiramanowong
3920,Marc Rath
5253,Kirill Saplin
312,Mischa Zverev
4309,Younes Rachidi
2514,Sam Taylor
283,Javier Marti
4949,Hermes Gamonal
534,Darren Cahill
5313,Jochen Nufer
4930,Francois Pierson
3985,Michael Eibl
2709,Vallis Wilder
1593,Finn Tearney
2928,Teodor Nicolae Marin
1614,William Ward
3488,Alexandr Kushakov
1851,Toby Mitchell
2730,Roland Stiegler
968,Rocky Royer
4493,Antoine Benneteau
2719,Kotaro Miyachi
5702,Bruce Brescia
1708,Neal Higgins
1783,David Dowlen
28,Michael Shyjan
2372,Michael Burgener
5498,Bobby Kokavec
5158,Jae-Sik Kim
3726,Evghenii Corduneanu
2657,Manuel Arias
4274,Francois Van Der Merwe
3269,Dennis Lajola
2056,Axel Michon
550,Brian Roe
5328,Sebastian Buehler
2417,Lars Samuelson
1306,Michael Joyce
756,Haroon Rahim
4449,Jose Llamas
1959,Andrew Thomas
1922,Rogerio Dutra Silva
588,Magnus Larsson
2327,Donald Johnson
491,Jai Dilouie
5098,Pedro Braga
4132,Ed Grubb
5214,Evgeni Zhelyazkov
31,Gilbert Schaller
5504,Milan Pokrajac
1812,Brett Custer
3460,Artur Completo
5666,Oliver Ceranic
5632,Marcelo Palacios-Siegenthale
5187,"

							<td class=""day-table-score"">



							</td>

							<td class=""day-table-button"">

							</td>

						</tr>

				</tbody>

				<thead>

					<tr>

						<th colspan=""9"">1st Round Qualifying</th>

					</tr>

				</thead>

				<tbody>

						<tr>

								<td class=""day-table-seed"">

		

	</td>



								<td class=""day-table-flag"">



<img alt=""BLR"" src=""/~/media/images/flags/blr.svg""   />	</td>



							<td class=""day-table-name"">

									<a href=""/en/players/sergey-betov/bd82/overview"" class="""">Sergey Betov"
901,Patricio Cornejo
4151,Terry Ehlers
1141,Dennis Ralston
842,Gerry Perry
1319,Pancho Segura
3099,Sever Dron
3139,Rohan Gide
1628,Flavio Cipolla
1666,Mate Pavic
5352,Steve Rogul
3030,Francisco Bahamonde
3299,Yves Allegro
2313,Vicente Solves
929,Christophe Roger-Vasselin
4247,Donald Watt
3851,Ziya Isikustun
3411,Sidney Gordon
2637,Ignacio Hirigoyen
897,Ricardo Cano
892,Jairo Velasco Sr
3479,Denys Maasdorp
5320,Yannick Offermans
5623,Guillem Burniol
4084,QUALIFIER QUALIFIER1
1342,Ben Testerman
213,Pablo Andujar
4843,Massimo Grassotti
4801,Francisco Ramos
4575,Kevin Kaczynski
187,Lukas Dlouhy
2821,Eddie Cruz
5524,Sergi Duran
1657,Jiri Vesely
865,Andres Gimeno
1448,Shuichi Sekiguchi
2240,Helmar Stiegler
1157,Sandy Mayer
1337,Robert Trogolo
4450,Chuck Willenborg
5376,Oded Yaacov
727,Tomas Berdych
1397,Alex Kuznetsov
942,Erick Iskersky
3578,Federico Zeballos
3078,Nobuya Tamura
4396,Ron Myers
4054,Segun Balogun
4812,Paolo Lazzari
2451,Patrik Brydolf
5001,Whitney Reed
1189,Scott Davis
1259,Marcos Aurelio Gorriz
1357,Michael Shabaz
1931,Joshua Crowe
111,Mariano Zabaleta
3,Oliver Fernandez
1698,Gondo Widjojo
77,Nicolas Lapentti
5576,Fran Zvonimir Zgombic
5676,Kacper Owsian
3307,Gregory Howe
1294,Alexis Hombrecher
1206,Chris Bailey
2922,Alexandru Catalin Marasin
1032,Diego Perez
3227,Bill Glaves
1718,Harold Hunt
4086,Sergei Likhachev
4746,D Carter
5604,Robert Eriksson
5343,Bill Colson
2796,Guillermo Stevens
1291,Philip Johnson
2558,Dejan Katic
1926,Sam Warburg
1331,Howard Schoenfield
4146,Steve Cornell
1625,Sergio Gutierrez-Ferrol
5142,. Daniele
4139,Jerry De Witts
5336,Luke Bourgeois
1928,Alexandre Sidorenko
3064,Tom Kreiss
438,Max Pettman
1641,Michal Mertinak
3233,Pedro Gonzalez
3932,Petar Popovic
497,Jeff Simpson
1917,Simone Vagnozzi
3427,Oliver Golding
2271,Jose Moreno-Tallada
2309,Nicolas Romero
383,Dick Crealy
2247,Luis Bruguera
2385,Alexander Sadecky
1001,Ivan Kley
1046,Tom Kempers
1421,Takura Happy
15,Byron Black
4656,Robert Lidgey
5357,Dmitri Tomashevich
695,Sjeng Schalken
543,Patrick Baur
248,Adrian Ungur
3182,John Gardner
3752,Bojan Szumanski
4528,Alexander Rumyantsev
1313,Levar Harper-Griffith
331,Aitor Aramburu
2042,Maxime Teixeira
2269,A. Riba
3117,Pavel Ivanov
4548,Dmitry Surchenko
192,Juan-Pablo Guzman
596,Eric Jelen
375,Peter McNamara
5128,Andy McCurry
1088,Melle Van Gemerden
3585,Calvin Hemery 
3524,Andreas Lesch
290,Ivo Karlovic
4777,Helder Lopes
3947,Martin Lorenzoni
2225,Nattan Benjasupawan
5609,Stefan Wauters
2058,Di Wu
4111,James Ireland
1215,David Witt
1647,Federico Delbonis
4760,Matthew Short
3535,Patrick Schnidrig
5396,T. Po
5109,Alexandre Schnitman
3962,Reinhard Wawra
3108,Wesley Whitehouse
3857,Fedor Chervyakov
4131,Rafael Osuna
2522,Albert Chang
2918,Andrei Mlendea
266,Alessandro Giannessi
2733,Bill Drake
1387,Alfredo Krywacz
5592,Ted Hoehn
4446,Dennis Gibson
3022,Nicolas Pastor
3143,Purav Raja
953,Henrik Sundstrom
996,Christian Feenstra
1550,Rick Rudeen
4569,Stephan Hoiss
3125,Mustafa Ghouse
5635,Juan Lopez Vico
4431,Karl Wegner
4172,Gary Sacks
2380,Regis Lavergne
1618,Raven Klaasen
456,Klaus Eberhard
5314,Matt Simpson
1414,David Span
2863,Austen Brice
4562,Navid Johannigmann
2798,Nicholas Sido
4319,Ali El Alaoui
933,Haroon Ismail
899,Manuel Santana
4932,Davor Stolcer
2766,Will Bull
997,Tarik Benhabiles
1406,Nathan Pasha
5671,Pietro Angelini
2364,Owen Casey
1153,Billy Martin
1619,Philip Bester
4681,Chris Louw
4620,Carlos Claverie
362,Tim Clements
5323,Adriano Quinti
976,Peter Carlsson
5639,Amador Romero-Torres
760,Fred Stolle
1370,Nicolas Mahut
2040,Denys Molchanov
2433,Vincenzo Santopadre
2539,Ye Du
2743,Schalk Van Der Merwe
358,John Holladay
2546,Xin Gao
5776,R Bortulan
1011,Peter Lindgren
3249,Ivan Baron
4507,Alexander Yarmola
845,Sergio Palmieri
4765,Evan Hoyt
3852,Ahmet Gencsoy
536,Gilad Bloom
3719,Kristian Capalik
3144,Vinod Sridhar
3688,William Tym
5456,Jae-Sung An
2116,Hyeon Chung
1404,Ignacio Taboada
1240,Jaroslav Navratil
5572,Mile Cilic
768,Vladimir Zednik
3785,Adam Peterson
4672,M Williams
1051,Pablo Arraya
215,Diego Junqueira
4505,Mikhail Lifshits
2917,Andrei Ciumac
2050,Gerard Granollers
673,Roger Federer
2100,Roberto Carballes Baena
1961,Dawid Olejniczak
4586,Sebastian Prechtel
4056,Dave Bohrnstedt
2134,Mathias Bourgue
5195,P. Martin
2505,Gustav Hansson
1266,Thomas Buchmayer
1384,Colin Fleming
749,Cliff Drysdale
722,Joachim Johansson
2537,Wan Gao
419,Wanaro N&#39;Godrella
4499,Sergej Skakun
129,Carlos Moya
4322,Hamza Aglaib
5116,Joao Walendowsky
1679,Richard Coulthard
240,Manuel Sanchez
2708,Masayoshi Takeyari
619,Jonas Svensson
5657,Zbynek Mlynarik
5146,. Salsi
5719,Bob Goeltz
1638,Cameron Norrie
1861,Michael Hill
2418,Ferrante Rocchi
5612,Luigi D&#39;Agord
94,Fernando Vicente
3086,R. Blanco
4974,Kirill Ivanov-Smolensky
4209,S. Myerson
4704,Arthur Surreaux
3252,Matias Boeker
4184,Pedro Zerbini
1937,Alexander Kudryavtsev
5255,Dmitrii Dosuzhev
5407,Suehiro Ito
3860,Tuna Altuna
1028,Ulf Stenlund
2021,Matteo Viola
3292,Michael Sprenglemeyer
4983,Xander Spong
2911,Catalin-Petre Nedelescu
2095,Andrew Whittington
1645,Pablo Carreno Busta
3800,Taylor Fritz
4398,Diego Veronelli
4180,Bruno Semenzato
4168,Rylan Rizza
4021,Austin Karosi
1693,O. Worley
2955,Jason Van Kerckhoven
4604,Balaram Singh
4128,Joseph Rush
234,John Isner
1198,Robert Seguso
2531,Peng Sun
2007,Sean Berman
1727,D. Richard Russell
1664,Blaz Rola
2213,Aviruth Phaphui
3756,Jamie Presslie
1219,Jim McManus
1899,Simon Stadler
327,Ivan Dodig
5587,Paul Cranis
4905,Juan Carlos Ayala
182,Guillermo Coria
3789,Alex Bartlett
5107,Thomas Jun Facchini Takemoto
4661,J. Hill
799,Keith Diepraam
2196,Peerakit Siributwong
1653,Enzo Couacaud
1606,Tsung-Hua Yang
659,Andre Agassi
1594,Adam Thompson
4065,Jonathan Ribaste
1729,Bernard Paul
154,Ivan Miranda
1267,Lars Koslowski
3178,W Thom
668,Justin Gimelstob
677,James Sekulov
352,Eric Friedler
3446,Pedro Sousa
22,Martin Strelba
4087,QUALIFIER QUALIFIER14
3029,Thiago Monteiro
932,Theo Gorter
4829,Robert Millington
3886,Nicolaas Scholtz
2411,Hans Goransson
4162,Kaes Van&#39;t Hof
2751,Dan Nahirny
101,Radomir Vasek
4590,Karl Fichtel
1056,Joost Winnink
3554,Quentin Robert
4443,Javier Ordaz
4448,A. Hernandez
869,Louk Sanders
2913,Sergiu Margarit
5052,Denny Fafek
2500,Gibril Diarra
2252,Hans Engert
3513,. Stebler
4736,L. Park
2296,Francisco Ferrer
2652,Barlaham Zuluaga Gaviria
5699,. Hamilton
2847,Henry (Hank) Irvine
2845,Paul Hanley
863,Greg Perkins
5473,Bill McDonnell
937,Andreas Maurer
4372,Connor Glennon
1558,Danilo Marcelino
4747,R. Armytage
2492,Joachim Bjerke
3928,Gerald Kamitz
411,Rolf Gehring
579,Udo Riglewski
2469,Petru-Alexandru Luncanu
844,George Taylor
4148,Dave Ranney
3377,B. Moran
4791,Rodrigo Carvalho
3753,Mitchell Krueger
1747,Jasjit Singh
4733,R. Hayes
186,Kevin Kim
2316,Massimo Valeri
5216,Julian Stamatov
3568,Damiano Di Ienno
848,Bernard Mignot
2400,Bengt Aberg
5149,. Cimurri
1874,Jean-Francois Bachelot
5648,Jordan Correia Passos Do Carmo
336,Chris Lewis (NZL)
286,Grigor Dimitrov
1809,Heiner Moraing
945,Carlos Castellan
3486,Stefan Fiacan
1675,Ray Keldie
2929,Patrick Grigoriu
4386,Terry Hassall
4836,Scott Shannon
3328,Filippo Sassi
5446,Shigeru Ota
3266,Eric Hechtman
395,George Hardie
1461,James Ferguson
1973,Louk Sorensen
5279,Mikael Stig
1281,Woody Blocher
5262,Kirill Kivattsev
5005,Ben Sims
2809,Mauro Menezes
252,Albert Ramos-Vinolas
2889,Juan Giner
2031,Michael McClune
3300,Uros Vico
1799,Michael Robertson
1035,Josef Cihak
3224,Jorg Schors
354,John Feaver
4657,Graham Thompson
791,Nick Fleury
347,Henry Pfister
4287,Jesus Hernandez
2163,Roger Guedes
339,John Alexander
523,Ramesh Krishnan
2633,Davide Scala
5531,Luka Belic
3820,Dan Lempa
4580,Roberto Affonso
3477,Christoph Meyer
1863,Noam Okun
2452,Robert Lindberg
3214,Justin Kronauge
2251,Vincenzo Franchitti
5606,Rodolfo Rake
4187,Remi Gilberton
1022,Pedro Rebolledo
2550,Matteo Donati
4441,Sebastien Gerard
2176,Butch Seewagen
1225,Frank Gebert
3204,Kevin Kerns
1608,Jan Minar
5740,Richard Irwin
3866,Diko Murdono
3000,Gustavo Luza
3491,Loic Perret
2689,Dacio Campos
3306,Ahmed Abdrabuh
3542,Robin Roshardt
3600,Christopher Koderisch
3651,Frederik Press
3376,K. Kelkher 
2239,Olan Issara
1849,Neville Godwin
4515,Mikhail Biryukov
5425,Kouichi Sayama
3617,Maximilian Marterer
3245,Ville Liukko
5617,Alexios Halebian
8,Horacio De La Pena
3301,Mohammed Abdulla
551,Christian Saceanu
5533,Rok Jarc
843,Jan Coebergh
4609,Anthony Assal
3110,Sunil Kumar
3312,Aleksandr Mityaev
4426,Hugo Perrin
5465,Pierre Lamarche
3843,Murat Gurler
253,Daniel Garza
2097,Yasutaka Uchiyama
2262,Ernesto Aguirre
5355,Mark Harner
3712,Jose Ayala
3234,Rocky Maguire
346,Ross Case
284,Nicolas Barrientos
2435,Timo Fleischfresser
4960,Omar Urbinati
1984,Michael Yani
441,Jeff Austin
3720,Thomas Blake
582,Bruno Oresar
4903,Marco Gudino
1781,David Macpherson
3185,Miguel Olvera
2391,Per Jemsby
876,Rolf Spitzer
1399,Rik De Voest
751,Roy Emerson
92,Alberto Martin
2344,Guillermo Alcorta-Olarra
1760,David Whyte
5194,Martin Koek
5701,Mark Darby
2950,Ricardo Aubone
2434,Johan Ortegren
4754,David Thomson
2444,Carl Bergman
2465,Juho Paukku
544,Joey Rive
4369,Jorge Vazquez-Catoira
4062,Jay Gooding
4183,Egor Puntus
750,Tom Okker
4761,David Rice
45,Andrei Chesnokov
675,Dejan Petrovic
4119,Joe Salisbury
2894,Robert Varga
1137,Bobby Wilson
3016,Andres Dellatorre
3447,Andre Gaspar Murta
3285,Patrick Daciek
5451,Toshiaki Sakai
11,Patrick McEnroe
1977,Michel Koning
507,Mike Leach
1119,Fritz Buehning
1271,Juan Gisbert Jr
5558,Ivo Mijic
3039,Young Seok Kim
4763,Toby Martin
808,Frank Schmitz
585,Paul Haarhuis
861,Gene Stuart Malin
3062,Lester Sack
3691,Jiri Medonos
5488,John Picken
2843,Mark Richards
3272,Reid Carleton
2101,Mohamed Safwat
3668,Alexander Marcial
3633,Jean Lovera
2812,William Kyriakos
4540,Boris Pokotilov
4138,Myron Franks
1960,Andis Juska
1873,Ladislav Svarc
3093,Rick Meyers
224,Cesar Ramirez
1426,Patrick Davidson
440,John Stephens
4600,Bob Adams
4908,Pedro Bernardi
5682,Pawel Syrewicz
3773,F. R.  Burns
513,Simon Youl
3823,Taylor Fogleman
4289,Micky Dominguez
219,Miguel Angel Lopez Jaen
1677,Geoff Pollard
377,Raymond Pascale
1069,Johan Van Herck
2330,Diego Hipperdinger
5698,Fred Drilling
3082,Taisen Kanai
2599,Louis Gloria
4263,Eugene Cantin
97,Franco Squillari
2178,Ionel Santeiu
3027,Fernando Romboli
1386,Kevin King
2536,Ya-Nan Ma
4942,Marcu Gavorielle
2326,Victor Sendin
5729,Gustav Fichardt
3948,Zoltan Ilin
1005,Paolo Cane
3507,Lance Lumsden
5287,Jonas Froberg
526,Johan Carlsson
2102,Akira Santillan
1317,Rainer Schuettler
1514,Chris Bradnam
2486,Giorgio Portaluri
3784,Jonathan Leach
4841,Torquato Rossini
2714,Kentaro Masuda
2005,Andre Begemann
5183,Zhao-Tai Li
1489,Werner Zirngibl
2688,Luca Bottazzi
2096,Filip Peliwo
5764,Silvio Dadic
1123,Mark Vines
2632,Philippe Moggio
4995,Michael Lux
870,Antonio Munoz
3405,P. Michau
1604,Carlos Poch-Gradin
3068,Freddie De Jesus
2951,Roberto Aubone
4108,Keelan Oakley
733,Gregory Carraz
3560,Joss Espasandin
1095,Steven Korteling
460,Alvin Gardiner
3410,A. Saul
504,Larry Stefanki
4255,Peter Dellavedova
4034,Joe Cooper
2810,Ricardo Acioly
5470,Brian Flood
1584,Bobby Reynolds
278,Simone Bolelli
1347,Tomm Warneke
23,Rodolphe Gilbert
5745,Robbye Poole
2659,Sebastian Lopez
1897,Tobias Summerer
1691,Gavin Hogben
1944,Carsten Ball
5664,Daniel Eger
3426,Dominik Schulz
1090,Nick Van Der Meer
4053,Guy Fritz
2626,Daniele Musa
2410,Olle Palmer
4614,Jonathan Pastel
5514,Gordon Jones
960,Deon Joubert
3740,Stuart Kenyon
1705,Peter Oatey
1049,Jose Antonio (Pepe) Conde
1840,Chris Wilkinson
5090,Leon Naude
3051,Abdel-Ghani Mohammed
3349,Mahmoud-Nader Al Baloushi
839,Jean-Loup Rouyer
4715,Christian Mohs
1296,Robbie Weiss
4516,Deniss Pavlovs
3715,Rill Baxter
1155,Peter Fleming
4001,Francois-Arthur Vibert
3007,Leonardo Olguin
3791,Alexander Domijan
3046,Robin Ray
3805,Shelby Cannon
3896,Steffen Solomon
1203,Pieter Aldrich
4826,Jackie Cooper
413,Patrick Proisy
4124,Ignacio Martinez
5147,Randall Verdieck
5532,Predrag Rusevski
251,Maximo Gonzalez
5549,Marcel Ruzic
2914,Victor-Mugurel Anagnastopol
1668,Ti Chen
2066,Fabiano De Paula
2729,R. Elangovan
4232,Roberto Meneschincheri
1642,Enrico Becuzzi
3506,Jose-Maria Blasi
5120,Marcos Vinicius  Dias
5126,Nicolas Kicker
821,Rolf Thung
4157,Pat Crow
4811,Marco Gilardelli
227,Jose De Armas
2958,Edouardo Prada
3136,Rohan Gajjar
4481,Tim Anderson
3559,Yann Minster
2763,Mike Brown
2770,Luis Ayala
1472,Larry Parker
4276,Lance Johnson
4628,A. G. Barker
1841,Ryan Blake
3763,A. H.  Davies
3897,Nicolas Sotiriu
3262,Evan King
3942,Unknown Bahr
3536,Sven Swinnen
775,Jean-Claude Barclay
3529,Patrick Mohr
3956,Hans Priller
5114,Bruno Santanna
984,Lorenzo Fargas
5043,John Lamble
4159,Denis Golovanov
5066,Tony Ortiz
1089,Michal Przysiezny
2248,Javier Soler
4743,K. French
1697,R. Campbell
1191,Milan Srejber
4520,Alexey Iremashvili
1806,Ivo Werner
2047,Erik Chvojka
1193,Kelly Evernden
2623,Jose-Luis Noriega
2871,Jacques Grandjean
282,Philipp Petzschner
334,Adrian Menendez-Maceiras
3867,Budiman Aznar
1845,John Sullivan
3724,Nikita Kryvonos
5137,Giuseppe Belli
1547,Simon Robinson
4434,Alexander Zhurbin
2944,Vasile Antonescu
2148,Gene Scott
2902,Robert Coman
3171,Jose Villarete
2471,Stefan Borg
578,Marc Rosset
2656,Pablo Tellez
382,Christophe Casa
1803,David Felgate
894,Norman Holmes
2771,Keith Wooldridge
1374,Phillip Simmonds
3151,Prajnesh Gunneswaran
137,German Puentes
2093,Kimmer Coppejans
4794,Joao Silverio
5688,Michal Wlodarczyk
102,Xavier Malisse
1220,Alejandro Olmedo
950,Hans-Peter Kandler
3960,Martin Schaffl
794,Bill Bowrey
319,Alejandro Gonzalez
5554,Agustin Gonzalez
2204,Jeff Coetzee
5383,Gil Kovalski
3707,Henry Whitesell
151,Agustin Calleri
2600,Mark Merklein
485,Craig A Miller 
3213,Wolfgang Schranz
889,Victor Pecci Sr.
2053,Harri Heliovaara
422,Cedric Mason
671,Adrian Voinea
4851,Carl-Edvard Hedelund
3085,Akira Motomura
964,Freddie Sauer
1068,Dinu Pescariu
5596,Eric Baer
165,Olivier Patience
2564,Miljan Zekic
2320,Nicklas Utgren
1832,Jason Cask
2831,Miles MacLagan
2371,Randy Crawford
771,Christian Kuhnke
3158,Elwin Antony
3663,Ian Bersin
5061,. Rios
916,Leo Palin
5583,Ned Weld
3390,A. Brennan
644,Thomas Johansson
5768,Ivan Blazevic
150,Michael Russell
1071,Adrian Garcia
1695,Peter Curtis
3324,Mohammed Reda
3463,Abbie Maynard
5206,Patrick Flynn
4751,Sebastian Fitz
4631,R.  Walker
5447,Kenichi Kiyomiya
3284,Temur Ismailov
2222,Eric Butorac
2442,Tim Goransson
2189,Jonathan Erlich
3177,G Harris
1310,Marcio Carlsson
391,Richard Lewis
2180,Rick Fagel
802,Sashi Menon
2964,Enrique Perez-Alvarez
4294,Manuel Valleramos
288,Andy Murray
3211,Robbie Koenig
1871,Matthew Breen
4808,Alessandro Petrone
1592,Mathieu Rodrigues
5277,Kenneth Andersson
3105,Sander Groen
5486,Jim Boyce
1770,Bernhard Pils
1520,Chris Dunk
2595,Norman Schellenger
3346,Ahmad Rabeea
